File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF744IFV	bed narrowPeak	peaks	ENCSR000EQI	DNase-seq	CL:0000546	T-helper 2 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF390DNP, ENCFF824UAU	2413571	ENCODE Processing Pipeline	f81da649c736babe4dc27365c23278cc		https://www.encodeproject.org/files/ENCFF744IFV/@@download/ENCFF744IFV.bed.gz	hg19			released		sequencing runs labeled as technical replicates		
ENCFF001SOO	bed narrowPeak	peaks	ENCSR000EJF	DNase-seq	EFO:0002786	GM12892	immortalized cell line	unknown	female	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE												1445792	Gregory Crawford, Duke	d347eff706311217233c439c581e1642		https://www.encodeproject.org/files/ENCFF001SOO/@@download/ENCFF001SOO.bed.gz	hg19			archived		missing derived_from	insufficient read length	
ENCFF001UVE	bed narrowPeak	peaks	ENCSR000EJF	DNase-seq	EFO:0002786	GM12892	immortalized cell line	unknown	female	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE												2717765	Gregory Crawford, Duke	2f75875cd96949bf2f012be0b78df2a5		https://www.encodeproject.org/files/ENCFF001UVE/@@download/ENCFF001UVE.bed.gz	hg19			archived		missing derived_from	insufficient read length	
ENCFF111MFA	bed narrowPeak	peaks	ENCSR000EJF	DNase-seq	EFO:0002786	GM12892	immortalized cell line	unknown	female	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF383QFY, ENCFF967OQF	1015599	ENCODE Processing Pipeline	c23e92797ca6b03829145107a85f5a2b		https://www.encodeproject.org/files/ENCFF111MFA/@@download/ENCFF111MFA.bed.gz	GRCh38			released			insufficient read length	
ENCFF330BLP	bed narrowPeak	peaks	ENCSR000EJF	DNase-seq	EFO:0002786	GM12892	immortalized cell line	unknown	female	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF260LKE, ENCFF390DNP	1026586	ENCODE Processing Pipeline	5b6e7fa2ad85f38519dfaac6412dac1e		https://www.encodeproject.org/files/ENCFF330BLP/@@download/ENCFF330BLP.bed.gz	hg19			released			insufficient read length	
ENCFF001WTL	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF001EIZ	1468008	John Stamatoyannopoulos, UW	a23dd1f934f540428718cc461bd6cd5e		https://www.encodeproject.org/files/ENCFF001WTL/@@download/ENCFF001WTL.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF001WTM	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				2							ENCFF001EIY	948934	John Stamatoyannopoulos, UW	af27ea8770b73040e90b0b3bb20c9c2c		https://www.encodeproject.org/files/ENCFF001WTM/@@download/ENCFF001WTM.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF434LIX	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF163ZHO, ENCFF976IIW	625810	ENCODE Processing Pipeline	aeb8e44e1c56037d6d87db6e397a6fdf		https://www.encodeproject.org/files/ENCFF434LIX/@@download/ENCFF434LIX.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF773IYG	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				2							ENCFF163ZHO, ENCFF175ASE	466893	ENCODE Processing Pipeline	276bb2445dc24e7fb632dd93e1a7f235		https://www.encodeproject.org/files/ENCFF773IYG/@@download/ENCFF773IYG.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF349JWY	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF347LRY, ENCFF992CZQ	633383	ENCODE Processing Pipeline	aba6bb11d01c0f3e3a388cf90566174c		https://www.encodeproject.org/files/ENCFF349JWY/@@download/ENCFF349JWY.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF926FFA	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				2							ENCFF329FPF, ENCFF992CZQ	471064	ENCODE Processing Pipeline	dfa0593ee29bf52a24094cafa83bc0ab		https://www.encodeproject.org/files/ENCFF926FFA/@@download/ENCFF926FFA.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF949OGH	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF765IRM, ENCFF967OQF	634129	ENCODE Processing Pipeline	bea047bbf5dd88b5ae55a5ce8492034c		https://www.encodeproject.org/files/ENCFF949OGH/@@download/ENCFF949OGH.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF412ONU	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				2							ENCFF437UDA, ENCFF967OQF	473794	ENCODE Processing Pipeline	aa91d261b20be9a82010eb4011a355e8		https://www.encodeproject.org/files/ENCFF412ONU/@@download/ENCFF412ONU.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF072BNW	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF217VVC, ENCFF390DNP	629041	ENCODE Processing Pipeline	c79d4c49ec0b7cbc1f03ab1b0ed649e2		https://www.encodeproject.org/files/ENCFF072BNW/@@download/ENCFF072BNW.bed.gz	hg19			released	low read depth, low spot score			
ENCFF492UJW	bed narrowPeak	peaks	ENCSR000EQE	DNase-seq	CL:0000545	T-helper 1 cell	primary cell	adult	male	33 year	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				2							ENCFF390DNP, ENCFF515JEC	470731	ENCODE Processing Pipeline	8a15650306e488d737ef597297c26068		https://www.encodeproject.org/files/ENCFF492UJW/@@download/ENCFF492UJW.bed.gz	hg19			released	low read depth, low spot score			
ENCFF001WMO	bed narrowPeak	peaks	ENCSR000EMF	DNase-seq	EFO:0005283	HS-27A	immortalized cell line	adult	male	unknown	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF001DMK	1967548	John Stamatoyannopoulos, UW	299801a7c5813cdeb7267d569761aeb1		https://www.encodeproject.org/files/ENCFF001WMO/@@download/ENCFF001WMO.bed.gz	hg19			archived	low read depth			
ENCFF999ARV	bed narrowPeak	peaks	ENCSR000EMF	DNase-seq	EFO:0005283	HS-27A	immortalized cell line	adult	male	unknown	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF163ZHO, ENCFF717QWA	925354	ENCODE Processing Pipeline	c3c5f31d49f566711adc5f4536d42343		https://www.encodeproject.org/files/ENCFF999ARV/@@download/ENCFF999ARV.bed.gz	hg19			archived	low read depth			
ENCFF064SEK	bed narrowPeak	peaks	ENCSR000EMF	DNase-seq	EFO:0005283	HS-27A	immortalized cell line	adult	male	unknown	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF710XTX, ENCFF992CZQ	929898	ENCODE Processing Pipeline	928d18e5d6f7d7d96440044ce84bd3a4		https://www.encodeproject.org/files/ENCFF064SEK/@@download/ENCFF064SEK.bed.gz	GRCh38			archived	low read depth			
ENCFF494XDV	bed narrowPeak	peaks	ENCSR000EMF	DNase-seq	EFO:0005283	HS-27A	immortalized cell line	adult	male	unknown	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF621MVU, ENCFF967OQF	960474	ENCODE Processing Pipeline	d5af7df6512080c1fe84b1b5a00a95cc		https://www.encodeproject.org/files/ENCFF494XDV/@@download/ENCFF494XDV.bed.gz	GRCh38			released	low read depth			
ENCFF791TWI	bed narrowPeak	peaks	ENCSR000EMF	DNase-seq	EFO:0005283	HS-27A	immortalized cell line	adult	male	unknown	Homo sapiens							DNA		see document	see document		False	2012-07-23	ENCODE				1							ENCFF390DNP, ENCFF746KVX	957494	ENCODE Processing Pipeline	30fee6578a5a9377b9fa1c9ad02936b0		https://www.encodeproject.org/files/ENCFF791TWI/@@download/ENCFF791TWI.bed.gz	hg19			released	low read depth			
ENCFF001SSC	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1, 2							ENCFF001EDO, ENCFF001EDP	1097836	John Stamatoyannopoulos, UW	a75087c55ea0d8c6cfc3fb59be16ef71		https://www.encodeproject.org/files/ENCFF001SSC/@@download/ENCFF001SSC.bed.gz	hg19			archived	low read depth			
ENCFF001WRT	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF001EDO	1393997	John Stamatoyannopoulos, UW	be7970eeea8d511d6abc5484234657f1		https://www.encodeproject.org/files/ENCFF001WRT/@@download/ENCFF001WRT.bed.gz	hg19			archived	low read depth			
ENCFF001WRU	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF001EDP	1390918	John Stamatoyannopoulos, UW	b4dae684ed25d435051d8894bf7d190d		https://www.encodeproject.org/files/ENCFF001WRU/@@download/ENCFF001WRU.bed.gz	hg19			archived	low read depth			
ENCFF635TDK	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF163ZHO, ENCFF207AIO	596654	ENCODE Processing Pipeline	42fa144e116fae0c0337a5c1d7622cfd		https://www.encodeproject.org/files/ENCFF635TDK/@@download/ENCFF635TDK.bed.gz	hg19			archived	low read depth			
ENCFF057GLN	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF163ZHO, ENCFF911QNJ	510717	ENCODE Processing Pipeline	22d819dfc20319f79db9caf301af4537		https://www.encodeproject.org/files/ENCFF057GLN/@@download/ENCFF057GLN.bed.gz	hg19			archived	low read depth			
ENCFF800FHQ	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF585MZD, ENCFF992CZQ	600882	ENCODE Processing Pipeline	4c7df4fb94793864b8a6d4cff6138b7a		https://www.encodeproject.org/files/ENCFF800FHQ/@@download/ENCFF800FHQ.bed.gz	GRCh38			archived	low read depth			
ENCFF403SLY	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF770RAW, ENCFF992CZQ	514544	ENCODE Processing Pipeline	ad4eae27ec323cfe0de6efa8e6e556c6		https://www.encodeproject.org/files/ENCFF403SLY/@@download/ENCFF403SLY.bed.gz	GRCh38			archived	low read depth			
ENCFF725UFK	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF375IJW, ENCFF967OQF	620852	ENCODE Processing Pipeline	a7a4233fbf92d5c08951ab3a20693be4		https://www.encodeproject.org/files/ENCFF725UFK/@@download/ENCFF725UFK.bed.gz	GRCh38			released	low read depth			
ENCFF151IQB	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF048ENW, ENCFF967OQF	530325	ENCODE Processing Pipeline	089feb2d50869873c0858ae7853d7bdc		https://www.encodeproject.org/files/ENCFF151IQB/@@download/ENCFF151IQB.bed.gz	GRCh38			released	low read depth			
ENCFF897LUY	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF390DNP, ENCFF556JGQ	618077	ENCODE Processing Pipeline	2bb28203e327dc304448ebc8adee2fd3		https://www.encodeproject.org/files/ENCFF897LUY/@@download/ENCFF897LUY.bed.gz	hg19			released	low read depth			
ENCFF027SJX	bed narrowPeak	peaks	ENCSR000EPT	DNase-seq	EFO:0002713	Panc1	immortalized cell line	unknown	male	56 year	Homo sapiens							DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF042NYM, ENCFF390DNP	527703	ENCODE Processing Pipeline	280023596fb7ebd959750288095b603a		https://www.encodeproject.org/files/ENCFF027SJX/@@download/ENCFF027SJX.bed.gz	hg19			released	low read depth			
ENCFF001UXH	bed narrowPeak	peaks	ENCSR000ELH	DNase-seq	CL:0000312	keratinocyte	primary cell	unknown	female	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE												2464481	Gregory Crawford, Duke	4065d8c22927af915b866ba2e6f191de		https://www.encodeproject.org/files/ENCFF001UXH/@@download/ENCFF001UXH.bed.gz	hg19			archived	low read depth, low spot score	missing derived_from	insufficient read length	
ENCFF299PZE	bed narrowPeak	peaks	ENCSR000ELH	DNase-seq	CL:0000312	keratinocyte	primary cell	unknown	female	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF791TMB, ENCFF967OQF	783813	ENCODE Processing Pipeline	04357c6c5c849a2ab3a3429e6cb006f5		https://www.encodeproject.org/files/ENCFF299PZE/@@download/ENCFF299PZE.bed.gz	GRCh38			released	low read depth, low spot score		insufficient read length	
ENCFF350XYE	bed narrowPeak	peaks	ENCSR000ELH	DNase-seq	CL:0000312	keratinocyte	primary cell	unknown	female	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF390DNP, ENCFF931TNN	788521	ENCODE Processing Pipeline	911f10cdf2e68fcb6f3e55a34223cfd0		https://www.encodeproject.org/files/ENCFF350XYE/@@download/ENCFF350XYE.bed.gz	hg19			released	low read depth, low spot score		insufficient read length	
ENCFF990ZGF	bed narrowPeak	peaks	ENCSR490JVQ	DNase-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	female	51 year	Homo sapiens							DNA					False	2017-12-13	ENCODE				1							ENCFF326LLN, ENCFF967OQF	1672568	ENCODE Processing Pipeline	c3e2c60d7b86f6ecfe76b30d4d31efba		https://www.encodeproject.org/files/ENCFF990ZGF/@@download/ENCFF990ZGF.bed.gz	GRCh38			released	low spot score	experiment not submitted to GEO		
